text,true_label,predicted_label,response,correct
"to the extent permitted by applicable law , you also acknowledge and agree that these warranty disclaimers , releases , and limitations of liability reflect a reasonable and fair allocation of risk between you and us and that these warranty disclaimers , releases , and limitations of liability form an essential basis of the bargain between you and us .",0,0,No,True
"without limiting any other remedies , supercell may limit , suspend , terminate , modify , or delete accounts or access to the service or portions thereof if you are , or supercell suspects that you are , failing to comply with any of these terms of service or for any actual or suspected illegal or improper use of the service , with or without notice to you .",1,1,Yes,True
"your continued use of the service now , or following the posting of notice of any changes in this agreement , will constitute a binding acceptance by you of this agreement , or any subsequent modifications .",1,1,Yes,True
"this analysis occurs as the content is sent , received , and when it is stored .",0,0,No,True
"by downloading , accessing or otherwise using the skyscanner services and/or skyscanner platforms , you are confirming that you have read , understood and agreed to these terms and those of the privacy policy .",1,0,No,False
"generally , we do not moderate any interactive service we provide although we may remove content in contravention of these terms of use as set out in section 6 .",1,0,No,False
"should you file a claim contrary to this dispute resolution section , the company may recover attorneys ' fees and costs up to $ 5,000 , provided that the company has notified you in writing of the improperly filed claim , and you have failed to promptly withdraw the claim .",0,0,No,True
the american arbitration association -lrb- aaa -rrb- will administer the arbitration under its commercial arbitration rules and the supplementary procedures for consumer related disputes .,0,0,No,True
"except to the extent required by applicable law , we have no obligation to provide a re-download or replacement of any material , digital goods -lrb- defined in section 14 -lrb- k -rrb- -rrb- , or applications previously purchased .",0,0,No,True
"you acknowledge that when you receive a user content license you receive only licensing and use rights ; therefore , you do not acquire ownership of any copies of the content , or transfer of any copyright or other intellectual property rights in the content .",0,0,No,True
"to the maximum extent permitted by applicable law , this limitation applies to all claims , whether based on warranty , contract , tort , or any other legal theory , whether or not under armour has been informed of the possibility of such damage , and further where a remedy set forth herein is found to have failed its essential purpose .",1,0,No,False
"in countries where exclusions or limitations of liability are allowed , dropbox , its affiliates , suppliers or distributors wo n't be liable for : i -rrb- any indirect , special , incidental , punitive , exemplary or consequential damages , or ii -rrb- any loss of use , data , business , or profits , regardless of legal theory .",1,0,No,False
"when you provide user-generated content to under armour through the services , you grant under armour and our athletes a non-exclusive , irrevocable , royalty-free , freely transferable , sublicensable , worldwide right and license to use , host , store , cache , reproduce , publish , display -lrb- publicly or otherwise -rrb- , perform -lrb- publicly or otherwise -rrb- , distribute , transmit , modify , adapt -lrb- including , without limitation , in order to conform it to the requirements of any networks , devices , services , or media through which the services are available -rrb- , commercialize , create derivative works of , and otherwise exploit such user-generated content in connection with any and all services .",0,0,No,True
"we reserve the right to refuse service to anyone , and can monitor , terminate or suspend our services or your account at any time .",1,1,Yes,True
your failure to provide youtube with accurate account information ; v. your failure to keep your password or youtube account details secure and confidential .,1,0,No,False
"in the event that the company makes any future change to the mandatory arbitration provision -lrb- other than a change to the company 's arbitration notice address -rrb- , you may reject any such change by sending us written notice within 30 days of the change to the company 's arbitration notice address , in which case your account with the company and your license to use the service will terminate immediately , and this dispute resolution provision , as in effect immediately prior to the amendments you reject , will survive the termination of this eula .",0,0,No,True
"if you live in the european union : you agree that the laws of ireland , excluding conflict of laws rules , shall exclusively govern any dispute relating to this contract and/or the services .",1,0,No,False
"however , we have the right , without payment to you or others , to serve ads near your content and information , and your social actions on sponsored content and company pages may be visible , as noted in the privacy policy .",0,0,No,True
"in certain countries , a number may be made available to you by a skype partner rather than skype , and you may need to enter into a separate agreement with such partner .",0,0,No,True
"evernote may act to temporarily limit your use of the service , suspend access to your account , or close your account , with or without notice according to these terms .",1,1,Yes,True
-lrb- b -rrb- skype reserves the right to withdraw or change the subscriptions at any time .,1,1,Yes,True
"it is fitbit 's policy , in appropriate circumstances and at our discretion , to disable or terminate the accounts of users who repeatedly infringe the rights of copyright holders .",1,0,No,False
airbnb payments will collect overstay fees from you pursuant to the payments terms .,0,0,No,True
"safeguard your password to the services , and keep your account information current .",0,0,No,True
"therefore , you should make whatever investigation you feel is necessary or appropriate before proceeding with any transaction with any third party to determine whether a charge will be incurred .",0,0,No,True
agreement to arbitrate for masquerade users located in the united states or canada .,0,0,No,True
18.6 you may not assign these terms or any rights or obligations contained in them .,0,0,No,True
"22.2 no joint venture , partnership , employment , or agency relationship exists between you and airbnb as a result of this agreement or your use of the airbnb platform .",0,0,No,True
"by agreeing to these terms of service , you also agree to arbitrate any and all claims against linden lab pursuant to the federal arbitration act and subject to the terms below -lrb- the `` agreement to arbitrate '' -rrb- .",1,0,No,False
all content is the sole responsibility of the person who originated such content .,0,0,No,True
"to the maximum extent permitted by applicable law , you also expressly agree that we do not assume responsibility for any third-party activity or any other race , contest , class , athletic activity or event that utilizes or is promoted by or accessed via the services .",1,0,No,False
"notwithstanding anything to the contrary in these terms , nothing in these terms excludes or limits our liability for fraud or for death or personal injury caused by our negligence .",0,1,Yes,False
the foregoing disclaimer of certain damages and limitation of liability will apply to the maximum extent permitted by applicable law .,1,1,Yes,True
the company reserves the right to terminate gifts for cause immediately at its sole discretion without advance notice or liability .,1,1,Yes,True
any judgment on the award rendered by the arbitrator may be entered in any court of competent jurisdiction .,0,0,No,True
"in exchange for being enabled to use the service , you agree to abide by these terms .",1,0,No,False
"any direct , indirect , special , incidental , consequential or exemplary damages , under any theory of liability , including but not limited to contract , tort -lrb- including negligence -rrb- , damages for loss of data , profits and goodwill , arising out of the use , misuse or inability to use the service , or by any form of malware , whether or not the company was or should have been aware or advised of the possibility of such damages ;",1,1,Yes,True
"without yahoo 's prior permission , you agree not to display or use in any manner the yahoo marks .",0,0,No,True
"these terms of use shall be governed by and construed in accordance with the laws of the state of new york , excluding its conflicts of law rules , and the united states of america .",1,1,Yes,True
"because our services evolve over time , we may change or discontinue all or any part of the services at any time and without notice .",1,1,Yes,True
any translated version is provided solely for your convenience .,0,0,No,True
"if we terminate your access to the service or you use the form detailed above to deactivate your account , your photos , comments , likes , friendships , and all other data will no longer be accessible through your account -lrb- e.g. , users will not be able to navigate to your username and view your photos -rrb- , but those materials and data may persist and appear within the service -lrb- e.g. , if your content has been reshared by others -rrb- .",1,0,No,False
"tripadvisor may change , add or delete these terms and conditions or any portion thereof from time to time in its sole discretion where it deems it necessary for legal , general regulatory and technical purposes , or due to changes in the services provided or nature or layout of the website .",1,1,Yes,True
"to the fullest extent allowed by any law that applies , the disclaimers of liability in these terms apply to all damages or injury caused by the service , or related to use of , or inability to use , the service , under any cause of action in any jurisdiction , including , without limitation , actions for breach of warranty , breach of contract or tort -lrb- including negligence -rrb- .",1,1,Yes,True
"if you think that someone has gained access to your account , please immediately reach out to snapchat support .",0,0,No,True
any violation or attempted violation of this provision may result in the immediate termination of your ability to access the fitbit service .,1,1,Yes,True
"the services are protected by copyright , trademark , and other us and foreign laws .",0,0,No,True
"by using under armour 's products and services , you are agreeing to all the terms below .",1,0,No,False
"atlas solutions group inc. will not be liable for any direct , indirect , incidental , consequential or exemplary loss or damages which may be incurred by you as a result of using our resources , or as a result of any changes , data loss or corruption , cancellation , loss of access , or downtime to the full extent that applicable limitation of liability laws apply .",1,1,Yes,True
"if , however , that court would lack original jurisdiction over the litigation , then all claims and disputes arising out of or relating to the terms or the use of the products will be litigated exclusively in the superior court of california , county of los angeles .",1,0,No,False
"if you are using our services on behalf of a business , that business accepts these terms .",0,0,No,True
9 nintendo 's liability to you,0,0,No,True
2.4 you grant certain content licenses to other users by submitting your content to publicly accessible areas of the service .,0,0,No,True
"we take the collection , use and security of the personal data that our athletes provide to us very seriously .",0,0,No,True
"any arbitration between you and spotify will be finally settled under the rules of arbitration of the international chamber of commerce -lrb- the `` icc '' -rrb- then in force -lrb- the `` icc rules '' -rrb- by one or more arbitrators appointed in accordance with the icc rules , as modified by these agreements , and will be administered by the international court of arbitration of the icc .",0,0,No,True
supercell may revise the pricing for the goods and services offered through the service at any time .,1,0,No,False
"to start an arbitration proceeding , use the form on aaa 's website -lrb- www.adr.org -rrb- or call them at 1-800-778-7879 .",0,0,No,True
amazon attempts to be as accurate as possible .,0,0,No,True
"you agree to submit to the exclusive personal jurisdiction of the courts located within zurich , switzerland -lrb- and , for the avoidance of doubt , to exclude the jurisdiction of any other court -rrb- for the purpose of litigating all such claims or disputes .",1,1,Yes,True
"linden lab may assign this agreement , in whole or in part , and all related rights , licenses , benefits and obligations , without restriction , including the right to sublicense any rights and licenses under this agreement .",0,1,Yes,False
"you may not use our copyrights , trademarks , domains , logos , trade dress , patents , and other intellectual property rights unless you have our express permission and except in accordance with our brand guidelines .",0,0,No,True
"14.6 the terms , and your relationship with youtube under the terms , shall be governed by english law .",1,1,Yes,True
funds can only be used to purchase digital products from noe in nintendo shopping services .,0,0,No,True
"as between you and uber , uber reserves the right to establish , remove and/or revise charges for any or all services or goods obtained through the use of the services at any time in uber 's sole discretion .",1,0,No,False
19.11 no class actions or representative proceedings .,0,0,No,True
"12.4 no liability : you acknowledge and agree that skype will have no liability whatsoever , whether in contract , tort -lrb- including negligence -rrb- or any other theory of liability , and whether or not the possibility of such damages or losses has been notified to skype , in connection with or arising from your use of skype websites , or the internet communications software or other software that is provided free of charge .",1,1,Yes,True
full use of the fitbit service is dependent upon your use of a computer with adequate software or a supported mobile device and internet access .,0,0,No,True
you agree that tripadvisor is not responsible for the accuracy or completeness of information it obtains from third-party suppliers and displays on its sites or apps .,0,0,No,True
"uber 's services may be used by you to request and schedule transportation , goods or logistics services with third party providers , but you agree that uber has no responsibility or liability to you related to any transportation , goods or logistics services provided to you by third party providers other than as expressly set forth in these terms .",1,0,No,False
"app provider and its subsidiaries are third-party beneficiaries of these terms as related to your license of the app , and that , upon your acceptance of the terms and conditions of these terms , app provider will have the right -lrb- and will be deemed to have accepted the right -rrb- to enforce these terms as related to your license of the app against you as a third-party beneficiary thereof .",0,0,No,True
"in all such cases , the terms shall terminate , including , without limitation , your license to use the services , except that the following sections shall continue to apply : ii , iii , v , and vi .",0,0,No,True
"you will resolve any claim , cause of action or dispute -lrb- claim -rrb- you have with us arising out of or relating to this statement or facebook exclusively in the u.s. district court for the northern district of california or a state court located in san mateo county , and you agree to submit to the personal jurisdiction of such courts for the purpose of litigating all such claims .",1,1,Yes,True
"furthermore , any action to enforce this user agreement shall be brought in the federal or state courts located in us , ca you hereby agree to personal jurisdiction by such courts , and waive any jurisdictional , venue , or inconvenient forum objections to such courts .",1,1,Yes,True
"in such cases , the liability will be limited to the typical and foreseeable damages .",0,0,No,True
"in the event of any conflict with such additional terms and these terms , these terms shall prevail .",0,0,No,True
"the company , its affiliates , and their respective officers , directors , employees , agents , suppliers and licensors -lrb- collectively , the `` company parties '' -rrb- make no warranties or representations about the service and any content -lrb- including gifts -rrb- available on the service , including but not limited , to the accuracy , reliability , completeness appropriateness , timeliness or reliability thereof .",0,0,No,True
"our services are very diverse , so sometimes additional terms or product requirements -lrb- including age requirements -rrb- may apply .",0,0,No,True
"if you opt out of the arbitration agreement , if the arbitration agreement is found by a court to be unenforceable , if your claim is an excluded dispute , or if you neither are a resident of nor have a principal place of business in the us or canada , you agree to resolve any claim you have with us arising out of or relating to these terms or onavo exclusively in a state or federal court located in san mateo county , california , united states and to submit to the personal jurisdiction of the courts located in san mateo county , california , united states for purpose of litigating all such claims .",1,1,Yes,True
we may make changes to this agreement and to the services from time to time .,1,1,Yes,True
12 termination and transfer of the agreement,0,0,No,True
"our aggregate liability relating to , arising out of , or in any way in connection with our terms , us , or our services will not exceed the greater of one hundred dollars -lrb- $ 100 -rrb- or the amount you have paid us in the past twelve months .",1,0,No,False
"you hereby agree that all disputes between you and the company -lrb- whether or not such dispute involves a third party -rrb- arising out of or in connection with your relationship with the company , including without limitation disputes related to the terms of this agreement or the privacy policy , your use of the service , and/or rights of privacy and/or publicity , will be finally settled by binding , individual arbitration under the rules of arbitration of the international chamber of commerce by one arbitrator appointed in accordance with the said rules .",1,1,Yes,True
skype may need to change or withdraw the number allocated to you from time to time .,1,0,No,False
-lrb- if you want to cancel the contract please complete and return this form . -rrb-,0,0,No,True
"we have no obligation or responsibility to , and will not reimburse or refund , you for any trading items , virtual money , or virtual goods lost due to such cancellation , suspension , or termination .",1,0,No,False
"we reserve the right , but are not obligated , to remove or disable access to any content , at any time and without notice , including but not limited to , if we , at our sole discretion , consider any content to be objectionable or in violation of these terms .",1,1,Yes,True
nothing in this agreement shall exclue or limit tripadvisor 's liability for -lrb- i -rrb- death or personal infury caused by negligence ; -lrb- ii -rrb- fraud ; -lrb- iii -rrb- fraudulent mistatement -lrb- iv -rrb- deliberate breach or gross negligence -lrb- v -rrb- any other liability which can not be excluded under applicable law .,0,0,No,True
"our `` name search '' feature will allow you to request a phone number at a manual name search ; the request will only be accommodated it the searched person has made his phone number available for search via the service , or where his phone number is available on a publicly accessible directory .",0,0,No,True
"tinder reserves the right to investigate and / or terminate your account without a refund of any purchases if you have misused the service or behaved in a way that tinder regards as inappropriate or unlawful , including actions or communications that occur off the service but involve users you meet through the service .",1,1,Yes,True
"if you are a resident outside of the united states , you agree that all disputes between you and supercell shall be governed by the laws of finland , without regard to conflict of law provisions .",1,1,Yes,True
"if we determine that you are violating the community guidelines or otherwise have breached the terms , we may take actions to address the issue , including , but not limited to , terminating your right to use the services , removing your user-generated content , taking legal action against you -lrb- in which case you agree that we may recover reasonable costs and attorneys ' fees -rrb- or disclosing information to law enforcement authorities .",1,0,No,False
"15.3 without limiting our rights specified below , airbnb may terminate this agreement for convenience at any time by giving you thirty -lrb- 30 -rrb- days ' notice via email to your registered email address .",1,1,Yes,True
"by continuing to use or access the services after the updates come into effect , you agree to be bound by the revised terms .",1,0,No,False
"you are solely responsible for your interaction with other users of the service , whether online or offline .",0,0,No,True
"in that event , the parties shall replace the illegal , invalid or unenforceable provision or part thereof with a provision or part thereof that is legal , valid and enforceable and that has , to the greatest extent possible , a similar effect as the illegal , invalid or unenforceable provision or part thereof , given the contents and purpose of these terms .",0,0,No,True
"nothing in this eula grants you a license to reproduce , distribute , publicly perform , communicate to the public , synchronize or otherwise use and exploit any third party content , including , but not limited to , sound recordings or musical works in your user videos or broadcast content .",0,0,No,True
"you and oculus empower the arbitrator with the exclusive authority to resolve any dispute relating to the interpretation , applicability or enforceability of these terms or formation of this contract , including the arbitrability of any dispute and any claim that all or any part of these terms are void or voidable .",1,1,Yes,True
information on skype gift cards is available on skype 's help page .,0,0,No,True
"we may change these terms at any time , and we 'll tell you when we do .",1,1,Yes,True
"if we ca n't , you and we agree to binding individual arbitration before the american arbitration association -lrb- `` aaa '' -rrb- under the federal arbitration act -lrb- `` faa '' -rrb- , and not to sue in court in front of a judge or jury .",1,0,No,False
"in no event shall the protected entities be liable for or in connection with any content posted , transmitted , exchanged or received by or on behalf of any user or other person on or through the products .",1,1,Yes,True
"if you have more content stored in your onedrive account than is provided to you under the terms of your free or paid subscription service for onedrive and you do not respond to notice from microsoft to fix your account by removing excess content or moving to a new subscription plan with more storage , we reserve the right to close your account and delete or disable access to your content on onedrive .",1,0,No,False
"evernote will endeavor to provide you with the option of whether or not to install the update ; however , in certain circumstances -lrb- e.g. , security risks -rrb- , evernote may require you to install the update to continue accessing the service .",0,0,No,True
we are not responsible for the content of user material provided by you or any other user .,0,0,No,True
"skype reserves the right to charge you for such products -lrb- at the normal rate -rrb- in the event that skype determines -lrb- in its reasonable discretion -rrb- that you are abusing the terms of the offer , including if you are using any service , proxy or other devices or anonymous ip address that prevents us from locating you .",1,0,No,False
viber may change the prices of such products at any time without any notice to you .,1,0,No,False
"these terms and conditions of use are the rules of the game -- designed to create a positive , law-abiding community of our athletes .",0,0,No,True
"headspace reserves the right to change or update these terms , or any other of our policies or practices , at any time , and will notify users by posting such changed or updated terms on this page .",1,1,Yes,True
"you agree that we may notify you of the updated terms by posting them on the service , and that your use of the service after we post the updated terms -lrb- or engaging in other such conduct as we may reasonably specify -rrb- constitutes your agreement to the updated terms .",1,0,No,False
"linkedin reserves the right to restrict , suspend , or terminate your account if linkedin believes that you may be in breach of this contract or law or are misusing the services -lrb- e.g. violating any do and do n'ts -rrb- .",1,1,Yes,True
"this license does not give you any right to , and you may not :",0,0,No,True
"onavo grants you a limited , non-exclusive , non-transferable , revocable license , without right to sub-license , to access and use the services , solely for your own personal purposes , subject to the terms and condition of this agreement .",0,1,Yes,False
mobile app : your use of the vimeo service through one of our mobile applications is also subject to our mobile app addendum .,0,0,No,True
"to the full extent permissible by law , amazon will not be liable for any damages of any kind arising from the use of any amazon service , or from any information , content , materials , products -lrb- including software -rrb- or other services included on or otherwise made available to you through any amazon service , including , but not limited to direct , indirect , incidental , punitive , and consequential damages , unless otherwise specified in writing .",1,1,Yes,True
"microsoft reserves the right to disqualify you ; disable your access to the program or your rewards account ; and/or withhold points , rewards and charitable contributions , if microsoft believes you are tampering with or abusing any aspect of the program or may be engaging in activities that violate these terms .",1,1,Yes,True
"if the prohibition against class actions and other disputes brought on behalf of third parties is found to be unenforceable for a dispute , then all of the provisions above under the caption `` special arbitration provision for united states or canada users '' will be null and void as to that dispute .",0,0,No,True
supercell shall have no liability to you or any third party in the event that supercell exercises any such rights .,1,1,Yes,True
please state ` credit card fraud ' in the subject line of your email and provide us with evidence of the charged deductible -lrb- e.g. policy of the credit card company -rrb- .,0,0,No,True
"if you do not terminate your agreement before the date the revised terms become effective , your continued access to or use of the airbnb platform will constitute acceptance of the revised terms .",1,0,No,False
amazon 's copyright agent for notice of claims of copyright infringement on its site can be reached as follows :,0,0,No,True
the company will not charge a user a fee for a re-download .,0,0,No,True
in such event you will not be entitled to a pro-rata refund or credit .,0,0,No,True
we reserve the right to change this user agreement from time to time without notice .,1,1,Yes,True
"solely in respect of users located in european economic area -lrb- eea -rrb- and/or australia , nothing in these terms of use shall be deemed to exclude or limit our or your liability -lrb- as applicable -rrb- in respect of :",0,1,Yes,False
"you agree that linden lab will not be liable for any interruption of the service -lrb- whether intentional or not -rrb- , and you understand that except as may otherwise be specifically provided in linden lab 's billing policies , posted on applicable areas of the service and/or website -lrb- s -rrb- , you will not be entitled to any refunds of fees or other compensation for interruption of service .",1,0,No,False
these license terms are an agreement between you and the application publisher .,0,0,No,True
"by continuing to access or use the services after those revisions become effective , you agree to be bound by the revised terms .",1,0,No,False
"further , skype may in its sole discretion remove such content and/or terminate these terms and your user account if you use any content that is in breach of these terms .",1,1,Yes,True
yahoo complies with applicable federal communications commission rules and regulations regarding the closed captioning of video content .,0,0,No,True
we reserve the right to terminate any player 's access to the service if we determine that the player is a `` repeat infringer . '',1,0,No,False
"linden lab has the right to change , limit access to , and/or eliminate any aspect -lrb- s -rrb- , feature -lrb- s -rrb- or functionality of the service -lrb- including your user content -rrb- as it sees fit at any time without notice , and linden lab makes no commitment , express or implied , to maintain or continue , or to permit open access to , any aspect of the service .",1,1,Yes,True
"for example , if you started your subscription on january 31st , your next payment date is likely to be february 28th , and your payment method would be billed on that date .",0,0,No,True
"by continuing to access or use the site or services after we have posted a modification on the site or have provided you with notice of a modification , you are indicating that you agree to be bound by the modified terms .",1,0,No,False
changes shall become effective when published on the skype website .,1,0,No,False
"if you see content on the services that violates this agreement , please report it within the services or via help@gotinder.com .",0,0,No,True
either party may terminate the services at any time by notifying the other party by any means .,1,1,Yes,True
"8.3.3 you may not bring any additional individuals to an experience , event or other host service unless such an individual was added by you as an additional guest during the booking process on the airbnb platform .",0,0,No,True
"use branding , logos , designs , photographs , videos , or any other materials used in our services .",0,0,No,True
10.1 the licensor is entitled to revise these terms of use at any time .,1,1,Yes,True
"world of warcraft is an ` on-line ' game that must be played over the internet through the service , as provided by blizzard entertainment .",0,0,No,True
"-lrb- b -rrb- to the extent permitted by law , headspace and its affiliates , suppliers , clients , or licensors -lrb- collectively , the `` protected entities '' -rrb- shall not be liable for any consequential , exemplary or punitive damages arising from , or directly or indirectly related to , the use of , or the inability to use , the products or the content , materials and functions related thereto , your provision of information via the products , or lost business or lost sales , or any errors , viruses or bugs contained in the products , even if such protected entity has been advised of the possibility of such damages .",1,1,Yes,True
"develop , support or use software , devices , scripts , robots , or any other means or processes -lrb- including crawlers , browser plugins and add-ons , or any other technology or manual work -rrb- to scrape the services or otherwise copy profiles and other data from the services ;",0,0,No,True
"the license shall remain in force subject to the payment of license fees , if any , unless terminated in accordance with section 8 .",0,0,No,True
"youtube reserves the right to make changes the terms from time to time , for example to address changes to the law or regulatory changes or changes to functionality offered through the service .",1,1,Yes,True
"though tinder strives to encourage a respectful user experience through features like the double opt-in that only allows users to communicate if they have both indicated interest in one another , it is not responsible for the conduct of any user on or off of the services .",1,0,No,False
"you may submit feedback by emailing us , through the `` contact '' section of the airbnb platform , or by other means of communication .",0,0,No,True
"the name `` ebay '' and other ebay marks , logos , designs , and phrases that we use in connection with our services are trademarks , service marks , or trade dress of ebay in the u.s. and other countries .",0,0,No,True
airbnb reserves the right to modify these terms at any time in accordance with this provision .,1,1,Yes,True
"effect of termination/account deletion : upon termination , all licenses granted by vimeo will terminate .",0,0,No,True
"skype may in its sole discretion block , prevent delivery of or otherwise remove the content of communications as part of its effort to protect the software , products or its customers , or otherwise enforce these terms .",1,1,Yes,True
certain specific terms that apply only for german users are available here .,0,0,No,True
"if you make a submission , you represent and warrant that you own or otherwise control the rights to your submission .",0,0,No,True
"in the event that a third party provider reports the need for repair or cleaning , and such repair or cleaning request is verified by uber in uber 's reasonable discretion , uber reserves the right to facilitate payment for the reasonable cost of such repair or cleaning on behalf of the third party provider using your payment method designated in your account .",0,0,No,True
"yahoo may , in appropriate circumstances and at its discretion , disable and/or terminate the accounts of users who may be repeat infringers .",1,1,Yes,True
"if you do not object to the amended terms of use within one -lrb- 1 -rrb- month following the special notice , your continued use of world of warcraft will mean that you accept the amended terms of use .",1,0,No,False
"in all cases , spotify reserves the right to remove or disable access to any user content for any or no reason , including but not limited to , user content that , in spotify 's sole discretion , violates the agreements .",1,1,Yes,True
"• commercialize any ebay application or any information or software associated with such application , except with the prior express permission of ebay ;",0,0,No,True
"you may choose to have the arbitration conducted by telephone , based on written submissions , or in person in the county where you live or at another mutually agreed location .",0,0,No,True
"if messages sent to the e-mail address you provide are returned as undeliverable , then the company may terminate your account immediately without notice to you and without any liability to you or any third party .",0,1,Yes,False
18.9 these terms other than paragraph 20.3 shall be governed by and interpreted in accordance with the laws of luxembourg and shall be subject to the jurisdiction of the courts of the district of luxembourg .,1,1,Yes,True
this disbursement of the updated credit card information is provided to headspace and headspace 's third party payment service provider at the sole election of your credit card issuer .,0,0,No,True
you must include -lrb- 1 -rrb- your name and residence address ; -lrb- 2 -rrb- your email address ; and -lrb- 3 -rrb- a clear statement that you want to opt out of these terms ' arbitration agreement .,0,0,No,True
"unless your paid subscription has been purchased as a pre-paid period , your payment to spotify will automatically renew at the end of the subscription period , unless you cancel your paid subscription through your subscription page before the end of the current subscription period .",0,0,No,True
